"Standard name","Hermes probability"
"S000002233",0.735
"S000002232",0.34
"S000002231",0
"S000002230",0
"S000002228",0
"S000002227",0.07
"S000002225",0.09
"S000002224",0
"S000002223",0
"S000002222",0.6
"S000002221",0
"S000002219",0.69
"S000002218",0.97
"S000002217",0
"S000002216",0.44
"S000002215",0
"S000002214",0
"S000002213",0.93
"S000002212",0
"S000002211",0.005
"S000002210",0
"S000002209",0.005
"S000002207",0
"S000002206",0.02
"S000002205",0.605
"S000002204",0
"S000006430",0.335
"S000002203",0.945
"S000002202",0.28
"S000002201",0.935
"S000002200",0
"S000002198",0.06
"S000002197",0.01
"S000002195",0.095
"S000002194",0
"S000002193",0
"S000002191",0
"S000002189",0.86
"S000002188",0.945
"S000002187",0.96
"S000002186",0.585
"S000002185",0
"S000002183",0
"S000002182",0
"S000028537",0
"S000002180",0.01
"S000002179",0
"S000002178",0.005
"S000002177",0.005
"S000002176",0.025
"S000002175",0.985
"S000002173",0.81
"S000002172",0.82
"S000002171",0.47
"S000002170",0.01
"S000002168",0.045
"S000002167",0.3
"S000002166",0.645
"S000113557",0.01
"S000002165",0.935
"S000002164",0.36
"S000002163",0.01
"S000002162",0.96
"S000002161",0.98
"S000002160",0
"S000002159",0
"S000002408",0
"S000002409",0.99
"S000002410",0
"S000028819",0.005
"S000002411",0
"S000002412",0.27
"S000002413",0
"S000002414",0.005
"S000002416",0
"S000002418",0
"S000002420",0.78
"S000002421",0.05
"S000113613",0
"S000002423",0.94
"S000002424",0.335
"S000002425",0
"S000002426",0
"S000002427",0.005
"S000002428",0.97
"S000002429",0
"S000002430",0.715
"S000002432",0.01
"S000002433",0
"S000002434",0.915
"S000002435",0.11
"S000002437",0.01
"S000002438",0.02
"S000002439",0
"S000002440",0
"S000002441",0
"S000007233",0.125
"S000007234",0.1
"S000002442",0
"S000002443",0
"S000002444",0.99
"S000002448",0.615
"S000002449",0.005
"S000002450",0.01
"S000002451",0.92
"S000002452",0.905
"S000002453",0
"S000002454",0.68
"S000002456",0.065
"S000002457",0.815
"S000002458",0
"S000002459",0.975
"S000002461",0.5
"S000002462",0
"S000002463",0
"S000002464",0.005
"S000002465",0.005
"S000002466",0
"S000002467",0.985
"S000002468",0
"S000002469",0.985
"S000002470",0
"S000002471",0.98
"S000002472",0
"S000002473",0
"S000002474",0
"S000002475",0.09
"S000002476",0.305
"S000002477",0.085
"S000002478",0.005
"S000002479",0.005
"S000002480",0.005
"S000002481",0.24
"S000002482",0.09
"S000002483",0
"S000002484",0
"S000002485",0
"S000002486",0.1
"S000007603",0.41
"S000002487",0.28
"S000002488",0.8
"S000002489",0.245
"S000002490",0.015
"S000002491",0
"S000002492",0.01
"S000002493",0.98
"S000002494",0.91
"S000002495",0.75
"S000002496",0
"S000002497",0
"S000002498",0.93
"S000002499",0
"S000002500",0
"S000002503",0
"S000002504",0
"S000002505",0.005
"S000002506",0
"S000002507",0
"S000002508",0
"S000002510",0
"S000002511",0
"S000002512",0.005
"S000002513",0
"S000002514",0
"S000002515",0
"S000002516",0
"S000002517",0
"S000002518",0
"S000002520",0.835
"S000002521",0.04
"S000002522",0.955
"S000002523",0.03
"S000002524",0.83
"S000002525",0.655
"S000002526",0.005
"S000113555",0.07
"S000002527",0.045
"S000002528",0
"S000002529",0.005
"S000002530",0.73
"S000002531",0
"S000002532",0
"S000002533",0
"S000002534",0.665
"S000002535",0
"S000002536",0.285
"S000002537",0.01
"S000002538",0
"S000002539",0
"S000002542",0
"S000002544",0.315
"S000002545",0.65
"S000002546",0.005
"S000002547",0.095
"S000002548",0.785
"S000002549",0
"S000002550",0
"S000002551",0
"S000002552",0.95
"S000002553",0
"S000002554",0
"S000002555",0
"S000002558",0
"S000002559",0
"S000002560",0
"S000002562",0.005
"S000002563",0
"S000002565",0
"S000002566",0.175
"S000002567",0.9
"S000002568",0.2
"S000002569",0.02
"S000002570",0.01
"S000002571",0.935
"S000002572",0
"S000002573",0.04
"S000002574",0.99
"S000002575",0.945
"S000002576",0.005
"S000028538",0.18
"S000002577",0.825
"S000002578",0
"S000002579",0.995
"S000002580",0.825
"S000002581",0.015
"S000002582",0.615
"S000002583",0.71
"S000002584",0.125
"S000002585",0
"S000002586",0
"S000002587",0
"S000002588",0.875
"S000002589",0
"S000002590",0.87
"S000028539",0.3
"S000002591",0
"S000002592",0.02
"S000002593",0
"S000002594",0
"S000002596",0.78
"S000002597",1
"S000002598",0.985
"S000002599",0
"S000002600",0
"S000002602",0.105
"S000028541",0.035
"S000002603",0.095
"S000002604",0.94
"S000002605",0.08
"S000002606",0
"S000002608",0.37
"S000002609",0.95
"S000002610",0
"S000002612",0
"S000002613",0
"S000002614",0
"S000002615",0.09
"S000002616",0.88
"S000002618",0.095
"S000002619",0.89
"S000002620",0.98
"S000002621",0
"S000002622",0.01
"S000002624",0
"S000002625",0
"S000002626",0.005
"S000002627",0
"S000002629",0
"S000002630",0
"S000002631",0
"S000002632",0.93
"S000002633",0.145
"S000002634",0.465
"S000002635",0.035
"S000002636",0.99
"S000002637",0
"S000002639",0
"S000002640",0.145
"S000002641",0
"S000002642",0
"S000002643",0.975
"S000002644",0.89
"S000002645",0.39
"S000002646",0.94
"S000002647",0
"S000002648",0.555
"S000002650",0
"S000002651",1
"S000002652",0
"S000002653",0.7
"S000002654",0.89
"S000028542",0
"S000002655",0
"S000002656",0
"S000002657",0
"S000002659",0.005
"S000002660",0.625
"S000002661",0.005
"S000002662",0
"S000002663",0
"S000002664",0
"S000002665",0
"S000002666",0
"S000002667",0
"S000002668",0
"S000002669",0
"S000002670",0.005
"S000002671",0
"S000002672",0.345
"S000002673",0
"S000002674",0
"S000002675",0.93
"S000002676",0.02
"S000002678",0.02
"S000002680",0
"S000002681",0
"S000002683",0.005
"S000002684",0.39
"S000002685",0
"S000002687",0.005
"S000002688",0.95
"S000002689",0.53
"S000002690",0
"S000002691",0
"S000002692",0
"S000002693",0
"S000002694",0.25
"S000002695",0.065
"S000002696",0.58
"S000002697",0
"S000002699",0
"S000002700",0.825
"S000002701",0
"S000002702",0
"S000002703",0
"S000002704",0.54
"S000002705",0
"S000002706",0.05
"S000002707",0.985
"S000002708",0.315
"S000002709",0.99
"S000002710",0.895
"S000002711",0.94
"S000002712",0
"S000002713",0
"S000002714",0
"S000002715",0
"S000002716",0.875
"S000002717",0
"S000002718",0.005
"S000002719",0.965
"S000002720",0.07
"S000002721",0
"S000002722",0
"S000002723",0.215
"S000002724",0
"S000002725",0
"S000002726",0
"S000002727",0.02
"S000002728",0.885
"S000007604",0.815
"S000002729",0
"S000002730",0.69
"S000007255",0.01
"S000002731",0.575
"S000002732",0.985
"S000002733",0.985
"S000002734",0
"S000002736",0.885
"S000002737",0.015
"S000002738",0
"S000002739",0.92
"S000002740",0
"S000002741",0
"S000002742",0
"S000002743",0
"S000002744",0
"S000002745",0.695
"S000002746",0
"S000002747",0.98
"S000002749",0.95
"S000002753",0
"S000002754",0
"S000002755",0.17
"S000002756",0
"S000002757",0
"S000002758",0.01
"S000002759",0
"S000002760",0
"S000002761",0
"S000002762",0
"S000002764",0.975
"S000002765",0
"S000002766",0
"S000002767",0.085
"S000002769",0.865
"S000002770",0.925
"S000002771",0
"S000007235",0.29
"S000002772",0.425
"S000002773",0.97
"S000002775",0.875
"S000002776",0
"S000002777",0.01
"S000002778",0
"S000002779",0.005
"S000002780",0.185
"S000002781",0.77
"S000002782",0
"S000113553",0.025
"S000002783",0.095
"S000002784",0.985
"S000002785",0.08
"S000002786",0.005
"S000002787",0
"S000007605",0.01
"S000002788",0
"S000002789",0.9
"S000007650",0
"S000002790",0.11
"S000002791",0
"S000002792",0
"S000002794",0
"S000002795",0
"S000002796",0.26
"S000002797",0
"S000002798",0.865
"S000002799",0.01
"S000002800",0.32
"S000002801",0
"S000002802",0.98
"S000002803",0.01
"S000002805",0.89
"S000002806",0.82
"S000002807",0
"S000002808",0
"S000002810",0.005
"S000002811",0
