,id,Hermes probability
68,CAGL0A01738g,0.7
69,CAGL0A01760g,0.01
70,CAGL0A01782g,0.0
71,CAGL0A01804g,0.23
72,CAGL0A01826g,0.01
73,CAGL0A01848g,0.02
74,CAGL0A01870g,0.01
75,CAGL0A01892g,0.0
76,CAGL0A01914g,0.98
77,CAGL0A01958g,0.91
78,CAGL0A01980g,0.055
79,CAGL0A02002g,0.025
80,CAGL0A02024g,0.085
81,CAGL0A02046g,0.005
82,CAGL0A02090g,0.94
83,CAGL0A02112g,0.97
84,CAGL0A02134g,0.09
85,CAGL0A02145g,0.135
86,CAGL0A02189g,1.0
87,CAGL0A02211g,0.375
88,CAGL0A02233g,0.16
89,CAGL0A02255g,0.995
90,CAGL0A02277g,0.985
91,CAGL0A02299g,0.19
92,CAGL0A02321g,0.015
93,CAGL0A02343g,0.14
94,CAGL0A02365g,0.07
95,CAGL0A02387g,0.005
96,CAGL0A02409g,0.23
97,CAGL0A02431g,0.14
98,CAGL0A02475g,0.01
99,CAGL0A02486g,0.015
100,CAGL0A02508g,0.295
101,CAGL0A02530g,0.005
102,CAGL0A02552g,0.06
103,CAGL0A02574g,0.01
104,CAGL0A02596g,0.995
105,CAGL0A02618g,0.095
106,CAGL0A02629g,0.235
107,CAGL0A02651g,0.63
108,CAGL0A02673g,0.98
109,CAGL0A02695g,0.95
110,CAGL0A02706g,0.195
111,CAGL0A02728g,0.845
112,CAGL0A02750g,0.925
113,CAGL0A02772g,1.0
114,CAGL0A02794g,0.985
115,CAGL0A02816g,0.135
116,CAGL0A02838g,0.025
117,CAGL0A02860g,0.0
118,CAGL0A02882g,0.775
119,CAGL0A02904g,0.11
120,CAGL0A02926g,0.32
121,CAGL0A02948g,0.53
122,CAGL0A02970g,0.065
123,CAGL0A02981g,0.325
124,CAGL0A02992g,0.015
125,CAGL0A03014g,0.995
126,CAGL0A03036g,0.845
127,CAGL0A03051g,0.005
128,CAGL0A03058g,0.02
129,CAGL0A03080g,0.17
130,CAGL0A03102g,0.02
131,CAGL0A03117g,0.995
132,CAGL0A03146g,0.02
133,CAGL0A03168g,0.655
134,CAGL0A03190g,0.025
135,CAGL0A03212g,0.005
136,CAGL0A03234g,0.315
137,CAGL0A03256g,0.97
138,CAGL0A03278g,0.73
139,CAGL0A03300g,0.04
140,CAGL0A03322g,0.0
141,CAGL0A03344g,0.235
142,CAGL0A03366g,0.005
143,CAGL0A03388g,0.94
144,CAGL0A03410g,0.155
145,CAGL0A03432g,0.085
146,CAGL0A03454g,0.975
147,CAGL0A03476g,0.0
148,CAGL0A03498g,0.015
149,CAGL0A03542g,0.355
150,CAGL0A03564g,0.88
151,CAGL0A03586g,0.305
152,CAGL0A03608g,0.07
153,CAGL0A03630g,0.93
154,CAGL0A03652g,1.0
155,CAGL0A03674g,0.07
156,CAGL0A03696g,0.0
157,CAGL0A03718g,0.66
158,CAGL0A03740g,0.235
159,CAGL0A03784g,0.13
160,CAGL0A03806g,0.065
161,CAGL0A03828g,0.025
162,CAGL0A03872g,0.76
163,CAGL0A03883g,0.01
164,CAGL0A03905g,0.02
165,CAGL0A03927g,0.0
166,CAGL0A03949g,0.465
167,CAGL0A03971g,0.075
168,CAGL0A03993g,0.105
169,CAGL0A04015g,1.0
170,CAGL0A04037g,0.89
171,CAGL0A04059g,0.725
172,CAGL0A04081g,0.005
173,CAGL0A04103g,0.905
174,CAGL0A04125g,0.98
175,CAGL0A04147g,0.15
176,CAGL0A04169g,0.15
177,CAGL0A04191g,0.05
178,CAGL0A04213g,0.16
179,CAGL0A04235g,0.09
180,CAGL0A04257g,0.01
181,CAGL0A04279g,0.01
182,CAGL0A04301g,0.015
183,CAGL0A04323g,0.025
184,CAGL0A04345g,0.085
185,CAGL0A04367g,0.97
186,CAGL0A04389g,0.005
187,CAGL0A04411g,0.01
188,CAGL0A04433g,0.025
189,CAGL0A04455g,0.005
190,CAGL0A04477g,0.015
191,CAGL0A04499g,0.26
192,CAGL0A04521g,0.985
193,CAGL0A04543g,0.595
194,CAGL0A04565g,0.74
195,CAGL0A04587g,0.0
196,CAGL0A04631g,0.13
197,CAGL0A04653g,0.035
198,CAGL0A04675g,0.89
199,CAGL0A04697g,0.015
200,CAGL0A04719g,1.0
201,CAGL0A04741g,0.52
202,CAGL0A04785g,0.015
203,CAGL0A04807g,0.68
204,CAGL0A04829g,0.09
205,CAGL0B00105g,0.93
206,CAGL0B00116g,0.98
207,CAGL0B00220g,1.0
208,CAGL0B00242g,0.995
209,CAGL0B00264g,1.0
210,CAGL0B00286g,0.505
211,CAGL0B00308g,0.035
212,CAGL0B00330g,0.99
