"FPR","TPR","Thresholds"
0.056378132118451,0.829479768786127,0.65
0.05751708428246,0.836705202312139,0.645
0.058086560364465,0.841040462427746,0.64
0.058656036446469,0.841040462427746,0.635
0.059225512528474,0.842485549132948,0.63
0.059225512528474,0.845375722543353,0.625
0.060364464692483,0.848265895953757,0.62
0.060364464692483,0.84971098265896,0.615
0.060364464692483,0.854046242774566,0.61
0.061503416856492,0.856936416184971,0.605
0.062642369020501,0.858381502890173,0.6
0.06378132118451,0.861271676300578,0.595
0.06378132118451,0.865606936416185,0.59
0.065489749430524,0.86849710982659,0.585
0.066628701594533,0.875722543352601,0.575
0.067767653758542,0.880057803468208,0.57
0.068337129840547,0.88150289017341,0.565
0.069476082004556,0.88150289017341,0.56
0.07004555808656,0.884393063583815,0.555
0.070615034168565,0.888728323699422,0.55
0.071753986332574,0.891618497109826,0.545
0.072892938496583,0.895953757225434,0.54
0.072892938496583,0.898843930635838,0.53
0.074031890660592,0.900289017341041,0.525
0.074031890660592,0.903179190751445,0.515
0.075170842824601,0.907514450867052,0.51
0.076309794988611,0.907514450867052,0.5
0.07744874715262,0.913294797687861,0.49
0.078018223234624,0.913294797687861,0.485
0.078587699316629,0.917630057803468,0.48
0.078587699316629,0.920520231213873,0.475
0.079157175398633,0.92485549132948,0.47
0.079726651480638,0.926300578034682,0.465
0.080296127562642,0.932080924855491,0.46
0.082574031890661,0.933526011560694,0.45
0.084282460136674,0.936416184971098,0.44
0.084851936218679,0.937861271676301,0.43
0.084851936218679,0.940751445086705,0.425
0.087129840546697,0.945086705202312,0.42
0.087699316628702,0.945086705202312,0.415
0.088268792710706,0.947976878612717,0.405
0.088268792710706,0.949421965317919,0.4
0.088268792710706,0.952312138728323,0.395
0.089407744874715,0.952312138728323,0.38
0.091116173120729,0.953757225433526,0.375
0.091685649202734,0.953757225433526,0.37
0.093963553530752,0.955202312138728,0.365
0.094533029612756,0.956647398843931,0.36
0.094533029612756,0.959537572254335,0.355
0.097949886104784,0.963872832369942,0.335
0.098519362186788,0.963872832369942,0.33
0.099088838268793,0.966763005780347,0.315
0.099658314350797,0.966763005780347,0.31
0.100227790432802,0.968208092485549,0.305
0.101366742596811,0.968208092485549,0.295
0.10250569476082,0.969653179190751,0.285
0.104214123006834,0.971098265895954,0.28
0.105353075170843,0.972543352601156,0.275
0.105353075170843,0.973988439306358,0.27
0.107061503416857,0.973988439306358,0.26
0.108200455580866,0.973988439306358,0.255
0.10876993166287,0.975433526011561,0.25
